source,target,weight
Aatrox,Ahri,6
Aatrox,Akali,8
Aatrox,Akshan,1
Aatrox,Alistar,3
Aatrox,Ambessa,5
Aatrox,Anivia,10
Aatrox,Annie,5
Aatrox,Aphelios,1
Aatrox,Ashe,7
Aatrox,AurelionSol,2
Aatrox,Aurora,7
Aatrox,Azir,1
Aatrox,Bard,16
Aatrox,Blitzcrank,1
Aatrox,Brand,1
Aatrox,Braum,2
Aatrox,Caitlyn,14
Aatrox,Camille,1
Aatrox,Cassiopeia,3
Aatrox,Corki,4
Aatrox,Draven,5
Aatrox,Ekko,2
Aatrox,Elise,1
Aatrox,Ezreal,20
Aatrox,Fiora,1
Aatrox,Galio,2
Aatrox,Gangplank,1
Aatrox,Garen,1
Aatrox,Gnar,5
Aatrox,Gragas,5
Aatrox,Graves,4
Aatrox,Gwen,2
Aatrox,Heimerdinger,1
Aatrox,Hwei,3
Aatrox,Ivern,1
Aatrox,Janna,3
Aatrox,JarvanIV,3
Aatrox,Jax,3
Aatrox,Jayce,13
Aatrox,Jhin,11
Aatrox,Jinx,6
Aatrox,KSante,4
Aatrox,Kaisa,6
Aatrox,Kalista,1
Aatrox,Karma,13
Aatrox,Karthus,2
Aatrox,Kassadin,1
Aatrox,Katarina,6
Aatrox,Kindred,1
Aatrox,Leblanc,5
Aatrox,LeeSin,3
Aatrox,Leona,4
Aatrox,Lillia,1
Aatrox,Lissandra,3
Aatrox,Lucian,4
Aatrox,Lulu,9
Aatrox,Lux,2
Aatrox,Malphite,1
Aatrox,Maokai,2
Aatrox,Mel,3
Aatrox,Milio,2
Aatrox,MissFortune,2
Aatrox,Mordekaiser,1
Aatrox,Morgana,1
Aatrox,Naafiri,2
Aatrox,Nami,5
Aatrox,Nautilus,7
Aatrox,Neeko,7
Aatrox,Nidalee,2
Aatrox,Nocturne,2
Aatrox,Nunu,2
Aatrox,Orianna,5
Aatrox,Ornn,7
Aatrox,Pantheon,6
Aatrox,Poppy,4
Aatrox,Pyke,3
Aatrox,Qiyana,1
Aatrox,Quinn,2
Aatrox,Rakan,2
Aatrox,RekSai,3
Aatrox,Rell,1
Aatrox,Renekton,4
Aatrox,Riven,3
Aatrox,Rumble,3
Aatrox,Ryze,10
Aatrox,Senna,5
Aatrox,Seraphine,5
Aatrox,Sett,1
Aatrox,Shaco,2
Aatrox,Shen,2
Aatrox,Singed,3
Aatrox,Sion,3
Aatrox,Sivir,4
Aatrox,Skarner,1
Aatrox,Smolder,2
Aatrox,Sona,7
Aatrox,Soraka,4
Aatrox,Swain,2
Aatrox,Sylas,9
Aatrox,Syndra,4
Aatrox,TahmKench,1
Aatrox,Taliyah,5
Aatrox,Teemo,4
Aatrox,Thresh,5
Aatrox,Tristana,1
Aatrox,TwistedFate,8
Aatrox,Urgot,1
Aatrox,Varus,5
Aatrox,Vayne,6
Aatrox,Veigar,1
Aatrox,Viego,3
Aatrox,Viktor,3
